date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,match_id,result,home_points,away_points,total_goals,goal_diff
2010-01-02,Iran,North Korea,1,0,Friendly,Doha,Qatar,1,0,home_win,3,0,1,1
2010-01-02,Qatar,Mali,0,0,Friendly,Doha,Qatar,0,1,draw,1,1,0,0
2010-01-02,Syria,Zimbabwe,6,0,Friendly,Kuala Lumpur,Malaysia,1,2,home_win,3,0,6,6
2010-01-02,Yemen,Tajikistan,0,1,Friendly,Sana'a,Yemen,0,3,away_win,0,3,1,-1
2010-01-03,Angola,Gambia,1,1,Friendly,Vila Real de Santo António,Portugal,1,4,draw,1,1,2,0
2010-01-04,Egypt,Mali,1,0,Friendly,Dubai,United Arab Emirates,1,5,home_win,3,0,1,1
2010-01-04,Tanzania,Ivory Coast,0,1,Friendly,Dar es Salaam,Tanzania,0,6,away_win,0,3,1,-1
2010-01-05,Ghana,Malawi,0,0,Friendly,Manzini,Swaziland,1,7,draw,1,1,0,0
2010-01-06,Benin,Libya,1,0,Friendly,Cotonou,Benin,0,8,home_win,3,0,1,1
2010-01-06,China,Syria,0,0,AFC Asian Cup qualification,Hangzhou,China,0,9,draw,1,1,0,0
2010-01-06,Gabon,Mozambique,2,0,Friendly,Bloemfontein,South Africa,1,10,home_win,3,0,2,2
2010-01-06,Kuwait,Australia,2,2,AFC Asian Cup qualification,Kuwait City,Kuwait,0,11,draw,1,1,4,0
2010-01-06,Bahrain,Hong Kong,4,0,AFC Asian Cup qualification,Riffa,Bahrain,0,12,home_win,3,0,4,4
2010-01-06,Yemen,Japan,2,3,AFC Asian Cup qualification,Sana'a,Yemen,0,13,away_win,0,3,5,-1
2010-01-06,Indonesia,Oman,1,2,AFC Asian Cup qualification,Jakarta,Indonesia,0,14,away_win,0,3,3,-1
2010-01-06,Lebanon,Vietnam,1,1,AFC Asian Cup qualification,Sidon,Lebanon,0,15,draw,1,1,2,0
2010-01-06,Singapore,Iran,1,3,AFC Asian Cup qualification,Singapore,Singapore,0,16,away_win,0,3,4,-2
2010-01-06,Thailand,Jordan,0,0,AFC Asian Cup qualification,Bangkok,Thailand,0,17,draw,1,1,0,0
2010-01-06,United Arab Emirates,Malaysia,1,0,AFC Asian Cup qualification,Dubai,United Arab Emirates,0,18,home_win,3,0,1,1
2010-01-07,Rwanda,Ivory Coast,0,2,Friendly,Dar es Salaam,Tanzania,1,19,away_win,0,3,2,-2
2010-01-09,Kenya,Cameroon,1,3,Friendly,Nairobi,Kenya,0,20,away_win,0,3,4,-2
