team,current_elo,last_match_date,points_per_game_last_5,goals_for_avg_last_5,goals_against_avg_last_5,goal_diff_avg_last_5,win_rate_last_5,draw_rate_last_5,loss_rate_last_5,points_per_game_last_10,goals_for_avg_last_10,goals_against_avg_last_10,goal_diff_avg_last_10,win_rate_last_10,draw_rate_last_10,loss_rate_last_10,xg_for_avg_last_5,xg_against_avg_last_5,non_penalty_xg_for_avg_last_5,non_penalty_xg_against_avg_last_5
Abkhazia,1612.3110201248971,2019-06-08,1.8,1.2,0.6,0.6,0.4,0.6,0.0,1.9,1.8,0.7,1.1,0.5,0.4,0.1,0.0,0.0,0.0,0.0
Afghanistan,1304.442169050865,2026-06-07,1.0,0.4,0.8,-0.4,0.2,0.4,0.4,0.5,0.4,1.4,-1.0,0.1,0.2,0.7,0.0,0.0,0.0,0.0
Albania,1548.4938804675235,2026-06-06,0.0,0.2,1.4,-1.2,0.0,0.0,1.0,1.5,0.9,0.9,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
Alderney,1249.2998187893038,2022-04-23,0.6,1.2,3.8,-2.6,0.2,0.0,0.8,0.6,0.9,3.2,-2.3,0.2,0.0,0.8,0.0,0.0,0.0,0.0
Algeria,1819.8698805439165,2026-06-03,2.0,1.8,0.4,1.4,0.6,0.2,0.2,2.3,1.9,0.4,1.5,0.7,0.2,0.1,0.0,0.0,0.0,0.0
American Samoa,1183.0912438382081,2026-03-28,0.0,0.8,4.6,-3.8,0.0,0.0,1.0,0.1,0.6,6.6,-6.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0
Andalusia,1511.7099735734362,2013-06-07,3.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,1107.8015741034965,2026-06-07,0.8,0.4,1.2,-0.8,0.2,0.2,0.6,0.6,0.5,1.6,-1.1,0.1,0.3,0.6,0.0,0.0,0.0,0.0
Angola,1554.814001323225,2026-06-09,1.2,1.2,0.8,0.4,0.2,0.6,0.2,1.4,1.4,1.1,0.3,0.3,0.5,0.2,0.0,0.0,0.0,0.0
Anguilla,1104.752532863574,2026-03-29,1.2,1.0,2.6,-1.6,0.4,0.0,0.6,0.6,0.8,2.8,-2.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0
Antigua and Barbuda,1244.791827202317,2025-11-18,0.4,0.2,1.4,-1.2,0.0,0.4,0.6,0.2,0.3,2.2,-1.9,0.0,0.2,0.8,0.0,0.0,0.0,0.0
Arameans Suryoye,1537.1306095807865,2014-06-08,2.0,1.8,1.2,0.6,0.6,0.2,0.2,2.0,1.8,1.2,0.6,0.6,0.2,0.2,0.0,0.0,0.0,0.0
Argentina,2007.669061573159,2026-06-09,3.0,2.8,0.2,2.6,1.0,0.0,0.0,2.5,2.5,0.3,2.2,0.8,0.1,0.1,0.0,0.0,0.0,0.0
Armenia,1348.9179055940178,2026-06-09,0.4,0.8,2.8,-2.0,0.0,0.4,0.6,0.6,0.8,2.5,-1.7,0.1,0.3,0.6,0.0,0.0,0.0,0.0
