date,team,opponent,xg_for,xg_against,non_penalty_xg_for,non_penalty_xg_against
,Argentina,Australia,1.481579,0.426118,1.481579,0.426118
,Argentina,Belgium,1.821672,1.033921,1.821672,1.033921
,Argentina,Brazil,1.022926,1.776898,1.022926,1.776898
,Argentina,Croatia,1.864363,0.410054,1.080863,0.410054
,Argentina,Croatia,1.218058,1.83171,1.218058,1.83171
,Argentina,England,1.614617,0.885424,1.614617,0.885424
,Argentina,France,5.892306,5.406618,1.974806,0.705618
,Argentina,France,1.446559,1.638027,1.446559,0.854527
,Argentina,Germany,1.311531,1.460963,1.311531,1.460963
,Argentina,Iceland,2.080518,1.032124,1.297018,1.032124
,Argentina,Mexico,0.325204,0.206392,0.325204,0.206392
,Argentina,Netherlands,5.856697,4.487038,1.155697,0.569538
,Argentina,Netherlands,0.132008,2.467233,0.132008,2.467233
,Argentina,Nigeria,0.85056,1.305345,0.85056,0.521845
,Argentina,Poland,3.07666,0.197595,2.29316,0.197595
,Argentina,Saudi Arabia,2.491633,0.153462,1.708133,0.153462
,Australia,Argentina,0.426118,1.481579,0.426118,1.481579
,Australia,Denmark,0.469723,0.737155,0.469723,0.737155
,Australia,Denmark,1.412192,1.014445,0.628692,1.014445
,Australia,France,0.323293,3.170496,0.323293,3.170496
,Australia,France,0.980031,1.561557,0.196531,0.778057
,Australia,Peru,1.62927,0.336375,1.62927,0.336375
,Australia,Tunisia,0.359038,1.05217,0.359038,1.05217
,Belgium,Argentina,1.033921,1.821672,1.033921,1.821672
,Belgium,Brazil,0.405256,2.609196,0.405256,2.609196
,Belgium,Canada,0.670041,2.546212,0.670041,1.762712
,Belgium,Croatia,2.38184,0.695022,2.38184,0.695022
,Belgium,England,0.965334,1.200686,0.965334,1.200686
,Belgium,England,1.320658,1.335357,1.320658,1.335357
,Belgium,France,0.566868,1.681687,0.566868,1.681687
,Belgium,Japan,2.917832,0.693769,2.917832,0.693769
,Belgium,Morocco,0.642612,0.991109,0.642612,0.991109
,Belgium,Panama,1.212055,0.625355,1.212055,0.625355
,Belgium,Tunisia,5.336422,1.188178,4.552922,1.188178
,Brazil,Argentina,1.776898,1.022926,1.776898,1.022926
,Brazil,Belgium,2.609196,0.405256,2.609196,0.405256
,Brazil,Cameroon,2.378219,0.383361,2.378219,0.383361
,Brazil,Costa Rica,3.096363,0.158693,3.096363,0.158693
,Brazil,Croatia,4.950331,3.766889,1.816331,0.632889
,Brazil,Czechoslovakia,3.813313,2.417502,3.813313,2.417502
,Brazil,England,0.866893,1.537559,0.866893,1.537559
,Brazil,France,4.815326,1.471243,4.815326,1.471243
,Brazil,Italy,2.768322,1.635215,2.768322,1.635215
,Brazil,Mexico,2.35979,0.895518,2.35979,0.895518
,Brazil,Mexico,3.320421,0.5828,3.320421,0.5828
,Brazil,Netherlands,0.962569,0.753889,0.962569,0.753889
,Brazil,Peru,3.655579,0.921982,3.655579,0.921982
,Brazil,Romania,2.218687,1.166938,2.218687,1.166938
,Brazil,Serbia,2.12389,0.163327,2.12389,0.163327
,Brazil,Serbia,1.419809,0.948319,1.419809,0.948319
,Brazil,South Korea,3.261424,0.344827,2.477924,0.344827
,Brazil,Sweden,3.341258,0.784291,3.341258,0.784291
,Brazil,Switzerland,0.92273,0.288629,0.92273,0.288629
